Mean_R,Mean_G,Mean_B,Mean_H,Mean_S,Mean_V,Kontras,Homogenitas,Energi,Korelasi,Label
143.9677734375,150.13226318359375,109.6778564453125,64.8883056640625,107.11431884765625,155.70660400390625,115.40551181102364,0.3982679685704105,0.050541542237128895,0.9774288887291247,bercak_awal
90.4124755859375,127.031982421875,111.06744384765625,73.89080810546875,116.2967529296875,139.17706298828125,193.16184793307085,0.296354885453956,0.031248486288436485,0.9709065973690655,bercak_awal
125.84820556640625,140.06329345703125,105.00738525390625,62.45648193359375,99.7125244140625,143.1707763671875,181.0843380905512,0.2644568434978387,0.046248450069113656,0.9751449262616799,bercak_awal
101.93951416015625,126.69451904296875,118.45367431640625,75.0736083984375,82.24169921875,137.08447265625,159.1437623031496,0.270225219436788,0.026277919057334835,0.9781496690228819,bercak_awal
115.44854736328125,131.9620361328125,124.080322265625,71.88616943359375,86.0274658203125,143.32586669921875,169.3916092519685,0.3497549308241185,0.04279940209661391,0.9771551938533064,bercak_awal
114.51409912109375,135.10699462890625,123.97967529296875,71.92852783203125,92.087890625,146.1610107421875,164.54213828740154,0.3848335390967519,0.04300958330755063,0.9728996616688953,bercak_awal
98.34515380859375,121.9200439453125,102.05810546875,65.60394287109375,116.9609375,133.70660400390625,191.75282972440945,0.22921538749946802,0.02367169626778998,0.9706400031522288,bercak_awal
163.5126953125,156.7127685546875,117.84716796875,69.969482421875,91.72052001953125,167.63848876953125,81.92858021653544,0.45262058227752844,0.08260460992955221,0.9754031457272069,bercak_awal
69.656982421875,105.86993408203125,100.86505126953125,78.5809326171875,115.7843017578125,119.73126220703125,140.9009596456693,0.2666398869759052,0.027309493540116345,0.9703715422470763,bercak_awal
115.6343994140625,123.870849609375,85.08221435546875,56.40899658203125,118.9000244140625,127.7569580078125,216.5279896653543,0.1527084524464746,0.02419892231273032,0.9610892784425265,bercak_awal
95.1544189453125,108.986083984375,97.3033447265625,64.28192138671875,86.95294189453125,118.25537109375,160.6439468503937,0.2925115807387931,0.025574057871103666,0.9772248418136621,bercak_awal
100.81329345703125,118.5758056640625,82.622314453125,64.00653076171875,124.06268310546875,121.82904052734375,267.7741141732283,0.1966665665180175,0.03614595944302574,0.9601034982070303,bercak_awal
134.97454833984375,140.37841796875,107.045654296875,57.2120361328125,101.7154541015625,147.600830078125,152.5114419291339,0.30412207908343303,0.03784828573594224,0.965934265356802,bercak_awal
85.001708984375,92.1524658203125,96.50567626953125,68.83935546875,65.71978759765625,106.95306396484375,132.578063484252,0.26849310167613083,0.027691893221407,0.9773491388664242,bercak_awal
109.894775390625,123.4691162109375,107.2315673828125,63.95574951171875,80.56854248046875,130.94451904296875,194.1654773622047,0.25312651484441895,0.02534904173699218,0.9747564313309947,bercak_awal
97.47900390625,103.56988525390625,114.818359375,74.87103271484375,62.83416748046875,123.58990478515625,157.90766486220477,0.28335872910794924,0.02746872747402848,0.9774516496296449,bercak_awal
116.4656982421875,126.38946533203125,92.7095947265625,35.37359619140625,104.8905029296875,127.41802978515625,263.1294291338583,0.29950593008914683,0.040066165828402375,0.9739455832724047,bercak_awal
110.4190673828125,126.05859375,91.3956298828125,62.47845458984375,110.625732421875,128.43505859375,151.42033710629923,0.3407345984328999,0.03186132736041091,0.9797647352332925,bercak_awal
108.05810546875,118.89178466796875,90.467041015625,63.78997802734375,112.273681640625,124.912109375,146.43460875984252,0.19407796444533057,0.02773968062658471,0.9736898396581279,bercak_awal
108.603759765625,118.8206787109375,87.42742919921875,61.40069580078125,123.7913818359375,124.58148193359375,114.91098671259842,0.22362828319309144,0.024541160089153326,0.9830778841971786,bercak_awal
127.81890869140625,136.59014892578125,106.275390625,60.8116455078125,93.09661865234375,141.37725830078125,117.99655511811022,0.38340047337416217,0.05081424205303461,0.9792322905521633,bercak_awal
131.405517578125,136.42559814453125,100.9224853515625,62.75384521484375,111.88787841796875,143.19073486328125,266.806656003937,0.15558824709880195,0.018577450361204347,0.9647610744091037,bercak_awal
112.00274658203125,142.52838134765625,128.32073974609375,83.393310546875,74.0589599609375,146.80810546875,106.9968626968504,0.38483247478580007,0.05115958211349619,0.9798866379527128,bercak_awal
135.96258544921875,143.80364990234375,95.1429443359375,56.87506103515625,123.99627685546875,147.9970703125,161.09098179133858,0.20563422256365058,0.021244319077623402,0.9708740139005232,bercak_awal
145.06744384765625,141.8291015625,117.26043701171875,57.95574951171875,85.46649169921875,151.85565185546875,146.86318897637793,0.3101873698539191,0.04028358654161497,0.9737107835752633,bercak_awal
93.47418212890625,103.7210693359375,66.979736328125,34.88519287109375,141.93768310546875,105.08343505859375,214.73068405511813,0.2737278500542103,0.02809448525154754,0.9766653559761541,bercak_awal
110.22735595703125,126.0054931640625,128.611328125,78.03887939453125,67.88360595703125,143.11114501953125,125.01562499999997,0.33972141077710816,0.03743537801246499,0.9810593608539702,bercak_awal
128.8199462890625,131.28118896484375,78.92181396484375,48.3408203125,133.45281982421875,134.0438232421875,207.9694266732284,0.19518941216712626,0.02187855814407583,0.958279782463744,bercak_awal
105.0323486328125,124.80474853515625,111.6885986328125,67.92486572265625,80.99078369140625,135.21075439453125,111.08058562992127,0.2970328895451357,0.04094826160440271,0.9753330652201343,bercak_awal
125.27264404296875,139.6875,123.266845703125,64.660400390625,74.70654296875,149.42364501953125,130.10955954724412,0.3226397556604208,0.04062420077178983,0.9797286803886434,bercak_awal
115.80364990234375,137.35321044921875,113.02789306640625,70.07745361328125,110.90997314453125,150.05413818359375,132.44771161417324,0.3673512908456109,0.040253115397697464,0.9790496094913532,bercak_awal
104.4365234375,123.8770751953125,91.33575439453125,65.09149169921875,111.60247802734375,129.75250244140625,84.5171628937008,0.32270155475558226,0.03076377896073875,0.9864640700034933,bercak_awal
117.23370361328125,137.038818359375,141.30657958984375,87.31854248046875,64.71026611328125,151.3941650390625,178.1519438976378,0.3579183767396394,0.04426520804128655,0.9726845666483259,bercak_awal
113.928466796875,139.5888671875,100.19451904296875,63.3072509765625,122.85430908203125,144.364990234375,174.1120816929134,0.40383619186462266,0.04472372571717216,0.9797882494225898,bercak_parah
109.3597412109375,127.0440673828125,102.90618896484375,67.85089111328125,114.32830810546875,133.44683837890625,160.87561515748033,0.39119227410765256,0.05655007243758744,0.9836247681619216,bercak_parah
151.44342041015625,167.50860595703125,119.40325927734375,63.483154296875,120.80010986328125,174.2705078125,185.96167568897638,0.35204829379944735,0.045632289010675196,0.9747880419170997,bercak_parah
120.638671875,131.59271240234375,111.9349365234375,73.5755615234375,74.61187744140625,136.14459228515625,156.06532972440948,0.33148004425908,0.05614074582814967,0.9806272368131159,bercak_parah
110.58575439453125,111.0086669921875,84.34613037109375,33.4573974609375,115.099853515625,115.31951904296875,117.24292568897638,0.2807245723369761,0.027540236957857286,0.9879305719278655,bercak_parah
163.3216552734375,161.00775146484375,99.51336669921875,56.58282470703125,130.17425537109375,172.27020263671875,63.6148499015748,0.3908190602498063,0.04551805805522957,0.976583045720042,bercak_parah
108.7806396484375,122.331787109375,96.75433349609375,60.54534912109375,91.38751220703125,126.23577880859375,167.62715305118115,0.2642197069028167,0.033135010995477394,0.9787163591030288,bercak_parah
97.5625,106.358154296875,81.114013671875,58.21685791015625,109.30902099609375,110.35028076171875,178.8783833661417,0.2708105492239508,0.029875412938806224,0.9772200933028685,bercak_parah
92.18402099609375,84.948486328125,51.24114990234375,23.7025146484375,160.8558349609375,94.9439697265625,226.9873892716536,0.20638319396946203,0.030101447624796402,0.9672598925358324,bercak_parah
111.8079833984375,127.5283203125,93.92120361328125,59.3590087890625,112.817138671875,132.0706787109375,141.07037401574803,0.3688871617572665,0.03893567824968693,0.9804386410736483,bercak_parah
